0.4940034597150126	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales_A_737866	Enterobacteriaceae_A	Arsenophonus_A	Arsenophonus_A lipoptenae
0.0428238034883251	Bacteria	Firmicutes_D	Bacilli	Mycoplasmatales	Mycoplasmataceae	Spiroplasma_A_270740	Spiroplasma_A_270740 melliferum
0.1174480279991259	Bacteria	Firmicutes_D	Bacilli	Mycoplasmatales	VBWQ01	Spiroplasma_D	Spiroplasma_D ixodetis
0.2191733428884444	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017 sp004296775
0.1265513659090917	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae_966727	Sediminibacterium	Sediminibacterium magnilacihabitans
