0.2972451123272928	Unassigned						
0.2375625065568759	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017 sp004296775
0.2260317644065093	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales_592524	Burkholderiaceae_A_580492	Ralstonia	Ralstonia pickettii_B
0.2391606167093219	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales_A_737866	Shewanellaceae_666538	Shewanella	Shewanella carassii
