Anopheles sinensis	Pantoea	Pseudomonadota
Anopheles sinensis	Pseudomonas	Pseudomonadota
Anopheles sinensis	Serratia	Pseudomonadota
Anopheles sinensis	Staphylococcus	Bacillota
Anopheles stephensi	Asaia	Pseudomonadota
Anopheles stephensi	Serratia	Pseudomonadota
Anopheles stephensi	Wickerhamomyces	Ascomycota
Anopheles stephensi	Wolbachia	Pseudomonadota
Anoplophora glabripennis	Fusarium	Ascomycota
Antestiopsis thunbergii	Rickettsia	Pseudomonadota
Antestiopsis thunbergii	Sodalis	Pseudomonadota
Antestiopsis thunbergii	Spiroplasma	Mycoplasmatota
Antheraea assamensis	Bacillus	Bacillota
Anticarsia gemmatalis	Bacillus	Bacillota
Anticarsia gemmatalis	Enterococcus	Bacillota
Anticarsia gemmatalis	Neurospora	Ascomycota
Anticarsia gemmatalis	Staphylococcus	Bacillota
Antonina pretiosa	Buchnera	Pseudomonadota
Antonina pretiosa	Candidatus Vidania	Pseudomonadota
Antonina pretiosa	Wolbachia	Pseudomonadota
Aphelinus abdominalis	Candidatus Hamiltonella	Pseudomonadota
Aphelinus glycinis	Candidatus Hamiltonella	Pseudomonadota
Aphidius colemani	Corynebacterium	Actinomycetota
Aphis asclepiadis	Arsenophonus	Pseudomonadota
Aphis asclepiadis	Buchnera	Pseudomonadota
Aphis aurantii	Rickettsia	Pseudomonadota
Aphis craccivora	Arsenophonus	Pseudomonadota
Aphis craccivora	Buchnera	Pseudomonadota
Aphis craccivora	Rickettsia	Pseudomonadota
Aphis fabae	Buchnera	Pseudomonadota
Aphis fabae	Candidatus Hamiltonella	Pseudomonadota
Aphis fabae	Candidatus Regiella	Pseudomonadota
Aphis fabae	Serratia	Pseudomonadota
Aphis glycines	Arsenophonus	Pseudomonadota
Aphis glycines	Buchnera	Pseudomonadota
Aphis gossypii	Achromobacter	Pseudomonadota
Aphis gossypii	Arsenophonus	Pseudomonadota
Aphis gossypii	Buchnera	Pseudomonadota
Aphis gossypii	Candidatus Hamiltonella	Pseudomonadota
Aphis gossypii	Pseudomonas	Pseudomonadota
Aphis gossypii	Rhodococcus	Pseudomonadota
Aphis gossypii	Rickettsia	Pseudomonadota
Aphis gossypii	Selenomonas	Bacillota
Aphis gossypii	Serratia	Pseudomonadota
Aphis gossypii	Sphingomonas	Pseudomonadota
Aphis nerii	Arsenophonus	Pseudomonadota
Aphis nerii	Buchnera	Pseudomonadota
Apis cerana	Apibacter	Bacteroidota
Apis cerana	Bifidobacterium	Actinomycetota
Apis cerana	Bombella	Pseudomonadota
Apis cerana	Gilliamella	Pseudomonadota
Apis cerana	Lactobacillus	Bacillota
Apis cerana	Snodgrassella	Pseudomonadota
Apis florea	Lactobacillus	Bacillota
Apis mellifera	Apilactobacillus	Bacillota
Apis mellifera	Bartonella	Pseudomonadota
Apis mellifera	Bifidobacterium	Actinomycetota
Apis mellifera	Bombella	Pseudomonadota
Apis mellifera	Bombella apis	Pseudomonadota
Apis mellifera	Burkholderia	Pseudomonadota
Apis mellifera	Chaetomium	Ascomycota
Apis mellifera	Gilliamella	Pseudomonadota
Apis mellifera	Lactobacillus	Bacillota
Apis mellifera	Vairimorpha	Other
Armadillidae	Bacillus	Bacillota
Armadillidae	Cellulosimicrobium	Actinomycetota
Armadillidae	Enterobacter	Pseudomonadota
Armadillidae	Paenibacillus	Bacillota
Asobara japonica	Wolbachia	Pseudomonadota
Asobara tabida	Wolbachia	Pseudomonadota
Aspongopus chinensis	Penicillium	Ascomycota
Atractomorpha sinensis	Methylobacterium	Pseudomonadota
Atractomorpha sinensis	Microbacterium	Actinomycetota
Atta cephalotes	Leucoagaricus	Basidiomycota
Atta sexdens	Leucoagaricus	Basidiomycota
Bactericera cockerelli	Liberibacter	Pseudomonadota
Bactericera trigonica	Sodalis	Pseudomonadota
Bactericerca cockerelli	Liberibacter	Pseudomonadota
Bactrocera cucurbitae	Bacillus	Bacillota
Bactrocera cucurbitae	Pseudomonas	Pseudomonadota
Bactrocera dorsalis	Bacillus	Bacillota
Bactrocera dorsalis	Citrobacter	Pseudomonadota
Bactrocera dorsalis	Comamonas	Pseudomonadota
Bactrocera dorsalis	Enterobacter	Pseudomonadota
Bactrocera dorsalis	Enterococcus	Bacillota
Bactrocera dorsalis	Klebsiella	Pseudomonadota
Bactrocera dorsalis	Lactococcus	Bacillota
Bactrocera dorsalis	Morganella	Pseudomonadota
Bactrocera dorsalis	Pantoea	Pseudomonadota
Bactrocera dorsalis	Penicillium	Ascomycota
Bactrocera dorsalis	Providencia	Pseudomonadota
Bactrocera dorsalis	Pseudomonas	Pseudomonadota
Bactrocera minax	Enterococcus	Bacillota
Bactrocera minax	Serratia	Pseudomonadota
